,Player,Team,GP,Wins,Losses,oiGF,GA,TeamGP,TeamW,TeamL,TeamGF,TeamGA,goalieExpectedWinGames,goalieExpectedWinPercentage,goalieActualWinPercentage,teamExpectedWinGames,teamExpectedWinPercentage,teamActualWinPercentage,goalieExpectedMinusActualPercentage,goalieExpectedMinusActualGames,goalieExpectedMinusTeamPercentage,teamExpectedMinusActualPercentage,teamExpectedMinusActualGames
58,Craig Anderson,OTT,34,11,19,82,100,71,25,46,190,238,14.226570806737316,0.4184285531393328,0.3235294117647059,28.94327618467115,0.4076517772488894,0.352112676056338,0.0948991413746269,3.2265708067373158,0.010776775890443402,0.0555391011925514,3.9432761846711486
56,Anders Nilsson,OTT,20,9,11,52,58,71,25,46,190,238,9.0966677520806,0.45483338760403,0.45,28.94327618467115,0.4076517772488894,0.352112676056338,0.004833387604030015,0.09666775208060052,0.047181610355140624,0.0555391011925514,3.9432761846711486
57,Marcus Hogberg,OTT,24,5,16,53,70,71,25,46,190,238,9.278916612159174,0.38662152550663226,0.20833333333333334,28.94327618467115,0.4076517772488894,0.352112676056338,0.17828819217329891,4.278916612159174,-0.021030251742257144,0.0555391011925514,3.9432761846711486
3,Antti Raanta,ARI,33,15,17,85,80,70,33,37,190,183,17.32904918561852,0.5251227025945006,0.45454545454545453,36.08945952753029,0.515563707536147,0.4714285714285714,0.07057724804904603,2.329049185618519,0.009558995058353559,0.04413513610757558,3.0894595275302876
4,Darcy Kuemper,ARI,29,16,13,77,65,70,33,37,190,183,16.524395019533504,0.5698067248115001,0.5517241379310345,36.08945952753029,0.515563707536147,0.4714285714285714,0.0180825868804656,0.5243950195335039,0.05424301727535308,0.04413513610757558,3.0894595275302876
5,Adin Hill,ARI,13,2,7,26,28,70,33,37,190,183,6.100933830786686,0.4693026023682066,0.15384615384615385,36.08945952753029,0.515563707536147,0.4714285714285714,0.31545644852205273,4.100933830786686,-0.04626110516794041,0.04413513610757558,3.0894595275302876
42,Cayden Primeau,MTL,2,1,1,5,5,71,31,40,208,220,1.0,0.5,0.5,33.84952238041217,0.4767538363438334,0.43661971830985913,0.0,0.0,0.023246163656166607,0.040134118033974264,2.849522380412168
44,Charlie Lindgren,MTL,6,2,4,13,20,71,31,40,208,220,1.9714150752233677,0.3285691792038946,0.3333333333333333,33.84952238041217,0.4767538363438334,0.43661971830985913,-0.004764154129438702,-0.028584924776632326,-0.14818465713993878,0.040134118033974264,2.849522380412168
45,Keith Kinkaid,MTL,6,1,4,17,24,71,31,40,208,220,2.16453358583582,0.3607555976393033,0.16666666666666666,33.84952238041217,0.4767538363438334,0.43661971830985913,0.19408893097263666,1.16453358583582,-0.11599823870453008,0.040134118033974264,2.849522380412168
43,Carey Price,MTL,58,27,31,164,160,71,31,40,208,220,29.5939057061295,0.5102397535539569,0.46551724137931033,33.84952238041217,0.4767538363438334,0.43661971830985913,0.04472251217464657,2.593905706129501,0.033485917210123506,0.040134118033974264,2.849522380412168
21,Corey Crawford,CHI,40,16,23,100,108,70,32,38,208,214,18.72495737778056,0.468123934444514,0.4,34.17453484096228,0.48820764058517546,0.45714285714285713,0.06812393444451398,2.7249573777805587,-0.02008370614066146,0.031064783442318333,2.1745348409622807
29,Jimmy Howard,DET,27,2,25,42,96,71,17,54,142,265,5.464414929866209,0.2023857381431929,0.07407407407407407,18.60958270161622,0.26210679861431296,0.23943661971830985,0.12831166406911884,3.4644149298662086,-0.05972106047112005,0.022670178896003118,1.609582701616219
30,Eric Comrie,DET,3,0,2,4,9,71,17,54,142,265,0.6199080219062162,0.20663600730207207,0.0,18.60958270161622,0.26210679861431296,0.23943661971830985,0.20663600730207207,0.6199080219062162,-0.05547079131224089,0.022670178896003118,1.609582701616219
28,Calvin Pickard,DET,3,0,2,4,15,71,17,54,142,265,0.30120305166401,0.10040101722133667,0.0,18.60958270161622,0.26210679861431296,0.23943661971830985,0.10040101722133667,0.30120305166401,-0.1617057813929763,0.022670178896003118,1.609582701616219
31,Jonathan Bernier,DET,46,15,25,83,126,71,17,54,142,265,15.339642911158798,0.3334704980686695,0.32608695652173914,18.60958270161622,0.26210679861431296,0.23943661971830985,0.007383541546930383,0.33964291115879774,0.07136369945435656,0.022670178896003118,1.609582701616219
16,Elvis Merzlikins,CBJ,33,13,17,70,71,70,33,37,180,183,16.305868838701738,0.4941172375364163,0.3939393939393939,34.52014665270002,0.49314495218142884,0.4714285714285714,0.10017784359702236,3.3058688387017376,0.0009722853549874455,0.021716380752857423,1.5201466527000207
17,Joonas Korpisalo,CBJ,37,19,17,93,92,70,33,37,180,183,18.66589594408987,0.5044836741645911,0.5135135135135135,34.52014665270002,0.49314495218142884,0.4714285714285714,-0.00902983934892243,-0.3341040559101316,0.011338721983162214,0.021716380752857423,1.5201466527000207
18,Matiss Kivlenieks,CBJ,6,1,3,9,14,70,33,37,180,183,1.9472268740486554,0.3245378123414426,0.16666666666666666,34.52014665270002,0.49314495218142884,0.4714285714285714,0.15787114567477592,0.9472268740486554,-0.16860713983998626,0.021716380752857423,1.5201466527000207
8,Linus Ullmark,BUF,34,17,17,93,91,69,30,39,193,215,17.306530931553084,0.5090156156339143,0.5,31.419028319049904,0.45534823650796963,0.43478260869565216,0.009015615633914287,0.306530931553084,0.05366737912594466,0.020565627812317466,1.4190283190499038
9,Jonas Johansson,BUF,6,1,4,10,16,69,30,39,193,215,1.8862681387769906,0.3143780231294984,0.16666666666666666,31.419028319049904,0.45534823650796963,0.43478260869565216,0.14771135646283176,0.8862681387769906,-0.1409702133784712,0.020565627812317466,1.4190283190499038
